card	id	name	bind-regions	draws-the-design-of
stationery::Business Card	business-cards-1	Classic Clean	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-2	Bold Gradient	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-3	Lux Gold	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-4	Minimalist Edge	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-5	Modern Geo	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-6	Vintage Craft	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-7	Photo Blend	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-8	Bold Stripe	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-9	Pixel Grid	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-10	Neo Brutalist	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-11	Tarot Style	10	its own artwork (legacy id — no content route)
stationery::Business Card	business-cards-12	Dark Elegant	10	its own artwork (legacy id — no content route)
stationery::Letterhead	letterhead-ext-31	Wave 2 · 01	9	letterhead-ext-1
stationery::Letterhead	letterhead-ext-32	Wave 2 · 02	9	letterhead-ext-2
stationery::Letterhead	letterhead-ext-33	Wave 2 · 03	8	letterhead-ext-3
stationery::Letterhead	letterhead-ext-34	Wave 2 · 04	8	letterhead-ext-4
stationery::Letterhead	letterhead-ext-35	Wave 2 · 05	8	letterhead-ext-5
stationery::Letterhead	letterhead-ext-36	Wave 2 · 06	9	letterhead-ext-6
stationery::Letterhead	letterhead-ext-37	Wave 2 · 07	8	letterhead-ext-7
stationery::Letterhead	letterhead-ext-38	Wave 2 · 08	8	letterhead-ext-8
stationery::Letterhead	letterhead-ext-39	Wave 2 · 09	8	letterhead-ext-9
stationery::Letterhead	letterhead-ext-40	Wave 2 · 10	8	letterhead-ext-10
stationery::Letterhead	letterhead-ext-41	Wave 2 · 11	8	letterhead-ext-11
stationery::Letterhead	letterhead-ext-42	Wave 2 · 12	8	letterhead-ext-12
stationery::Letterhead	letterhead-ext-43	Wave 2 · 13	8	letterhead-ext-13
stationery::Letterhead	letterhead-ext-44	Wave 2 · 14	8	letterhead-ext-14
stationery::Letterhead	letterhead-ext-45	Wave 2 · 15	9	letterhead-ext-15
stationery::Letterhead	letterhead-ext-46	Wave 2 · 16	8	letterhead-ext-16
stationery::Letterhead	letterhead-ext-47	Wave 2 · 17	9	letterhead-ext-17
stationery::Letterhead	letterhead-ext-48	Wave 2 · 18	8	letterhead-ext-18
stationery::Letterhead	letterhead-ext-49	Wave 2 · 19	9	letterhead-ext-19
stationery::Letterhead	letterhead-ext-50	Wave 2 · 20	9	letterhead-ext-20
stationery::Letterhead	letterhead-ext-51	Wave 2 · 21	8	letterhead-ext-21
stationery::Letterhead	letterhead-ext-52	Wave 2 · 22	8	letterhead-ext-22
stationery::Letterhead	letterhead-ext-53	Wave 2 · 23	8	letterhead-ext-23
stationery::Letterhead	letterhead-ext-54	Wave 2 · 24	8	letterhead-ext-24
stationery::Letterhead	letterhead-ext-55	Wave 2 · 25	8	letterhead-ext-25
stationery::Letterhead	letterhead-ext-56	Wave 2 · 26	8	letterhead-ext-26
stationery::Letterhead	letterhead-ext-57	Wave 2 · 27	9	letterhead-ext-27
stationery::Letterhead	letterhead-ext-58	Wave 2 · 28	8	letterhead-ext-28
stationery::Letterhead	letterhead-ext-59	Wave 2 · 29	8	letterhead-ext-29
stationery::Letterhead	letterhead-ext-60	Wave 2 · 30	8	letterhead-ext-30
stationery::Letterhead	letterhead-ext-61	Wave 2 · 31	9	letterhead-ext-1
stationery::Letterhead	letterhead-ext-62	Wave 2 · 32	9	letterhead-ext-2
stationery::Letterhead	letterhead-ext-63	Wave 2 · 33	8	letterhead-ext-3
stationery::Letterhead	letterhead-ext-64	Wave 2 · 34	8	letterhead-ext-4
stationery::Letterhead	letterhead-ext-65	Wave 2 · 35	8	letterhead-ext-5
stationery::Letterhead	letterhead-ext-66	Wave 2 · 36	9	letterhead-ext-6
stationery::Letterhead	letterhead-ext-67	Wave 2 · 37	8	letterhead-ext-7
stationery::Letterhead	letterhead-ext-68	Wave 2 · 38	8	letterhead-ext-8
stationery::Letterhead	letterhead-ext-69	Wave 2 · 39	8	letterhead-ext-9
stationery::Letterhead	letterhead-ext-70	Wave 2 · 40	8	letterhead-ext-10
stationery::Letterhead	letterhead-ext-71	Wave 2 · 41	8	letterhead-ext-11
stationery::Letterhead	letterhead-ext-72	Wave 2 · 42	8	letterhead-ext-12
stationery::Letterhead	letterhead-ext-73	Wave 2 · 43	8	letterhead-ext-13
stationery::Letterhead	letterhead-ext-74	Wave 2 · 44	8	letterhead-ext-14
stationery::Letterhead	letterhead-ext-75	Wave 2 · 45	9	letterhead-ext-15
stationery::Letterhead	letterhead-ext-76	Wave 2 · 46	8	letterhead-ext-16
stationery::Letterhead	letterhead-ext-77	Wave 2 · 47	9	letterhead-ext-17
stationery::Letterhead	letterhead-ext-78	Wave 2 · 48	8	letterhead-ext-18
